frame,ball_x_mog2,ball_y_mog2,ball_x_yolo,ball_y_yolo
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,541,189,,
8,,,,
9,,,,
10,,,,
11,,,,
12,382,562,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,603,244,,
21,666,151,,
22,683,137,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,605,187,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,366,526,,
64,347,554,,
65,556,218,,
66,578,182,,
67,,,,
68,415,508,,
69,366,540,,
70,385,591,523,270
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,451,397
79,,,445,395
80,,,437,394
81,,,,
82,,,,
83,,,,
84,,,,
85,,,393,389
86,,,387,389
87,,,376,389
88,,,370,390
89,,,,
90,,,,
91,,,344,394
92,,,,
93,,,,
94,,,314,402
95,,,309,404
96,,,,
97,,,290,410
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,393,336
106,,,406,326
107,,,,
108,506,163,,
109,,,451,300
110,,,,
111,,,,
112,,,,
113,,,,
114,,,500,274
115,,,510,269
116,,,520,265
117,,,530,261
118,,,535,258
119,,,548,253
120,,,,
121,,,,
122,,,,
123,,,581,245
124,587,240,,
125,615,216,,
126,677,152,598,241
127,614,222,604,240
128,616,230,612,238
129,626,225,619,237
130,622,234,,
131,627,236,629,237
132,629,237,635,238
133,633,237,,
134,645,236,646,237
135,652,236,652,238
136,659,236,,
137,657,229,658,228
138,658,227,662,219
139,662,224,666,211
140,669,207,,
141,671,202,,
142,673,197,,
143,676,192,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,332,544,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,323,600,,
161,328,588,,
162,333,576,,
163,354,551,,
164,363,535,,
165,373,519,,
166,383,503,,
167,698,208,,
168,729,177,710,203
169,731,185,,
170,765,155,,
171,,,710,222
172,717,212,711,229
173,712,224,710,236
174,709,233,,
175,,,711,252
176,,,711,260
177,,,712,266
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,715,340
185,,,715,348
186,,,716,357
187,716,370,717,366
188,716,383,717,384
189,717,380,,
190,683,191,,
191,,,,
192,,,,
193,,,,
194,719,432,724,453
195,728,495,,
196,709,230,,
197,719,383,,
198,723,447,724,458
199,724,469,724,462
200,725,474,725,464
201,725,473,726,467
202,725,472,,
203,725,472,727,473
204,726,476,727,477
205,726,479,727,482
206,727,483,728,486
207,727,486,729,490
208,728,489,729,496
209,728,493,730,502
210,729,496,730,507
211,729,499,731,515
212,730,503,732,521
213,730,506,733,528
214,731,509,733,534
215,731,513,,
216,731,516,,
217,732,519,,
218,732,523,,
219,733,526,,
220,691,424,692,426
221,627,560,686,411
222,,,,
223,679,160,,
224,,,,
225,,,,
226,,,,
227,,,,
228,,,,
229,,,,
230,,,,
231,,,619,269
232,,,613,260
233,,,610,254
234,,,601,240
235,595,229,600,238
236,,,,
237,,,587,222
238,,,,
239,,,578,211
240,574,213,572,205
241,570,207,,
