frame,player1_x,player1_y,player2_x,player2_y,ball_x,ball_y
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,136.7183380126953,1712.953125,,,,
55,136.7183380126953,1712.953125,,,,
56,136.7183380126953,1712.953125,,,,
57,136.7183380126953,1712.953125,,,,
58,136.7183380126953,1712.953125,,,,
59,136.7183380126953,1712.953125,,,,
60,136.7183380126953,1712.953125,,,,
61,136.7183380126953,1712.953125,,,,
62,136.7183380126953,1712.953125,,,,
63,136.7183380126953,1712.953125,,,,
64,136.7183380126953,1712.953125,,,,
65,136.7183380126953,1712.953125,,,,
66,136.7183380126953,1712.953125,,,,
67,136.7183380126953,1712.953125,,,,
68,136.7183380126953,1712.953125,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,118.54633331298828,1736.1641845703125,,,,
75,117.42516326904297,1733.6710205078125,,,,
76,116.57376861572266,1733.6881103515625,,,,
77,114.0196304321289,1733.739013671875,,,,
78,110.61416625976562,1733.8070068359375,,,,
79,107.77812194824219,1731.342529296875,,,,
80,109.97813415527344,1773.391845703125,,,,
81,111.57852935791016,1802.123291015625,,,,
82,113.66383361816406,1834.6922607421875,,,,
83,115.201171875,1855.107666015625,,,,
84,113.61563873291016,1848.3675537109375,,,,
85,114.91423797607422,1859.60302734375,,,,
86,118.08796691894531,1866.23974609375,,,,
87,116.74268341064453,1868.489501953125,,,,
88,114.8863296508789,1866.3023681640625,,,,
89,113.2855453491211,1866.3336181640625,,,,
90,112.22478485107422,1864.126220703125,,,,
91,110.8994140625,1859.6815185546875,,,,
92,110.37303161621094,1855.2021484375,,,,
93,105.81238555908203,1850.7823486328125,,,,
94,107.15738677978516,1848.494140625,,,,
95,103.38408660888672,1844.02978515625,,,,
96,104.73080444335938,1841.7269287109375,,,,
97,102.02672576904297,1839.49853515625,,,,
98,106.08045196533203,1839.4189453125,,,,
99,110.13429260253906,1839.3394775390625,,,,
100,105.53404235839844,1820.9986572265625,,,,
101,102.79296875,1811.7158203125,,,,
102,94.51908874511719,1749.134765625,,,,
103,89.7115478515625,1708.753662109375,,,,
104,85.74495697021484,1682.7698974609375,,,,
105,92.39009857177734,1724.05224609375,,,,
106,96.7950439453125,1754.0465087890625,,,,
107,99.39506530761719,1776.0279541015625,,,,
108,100.55282592773438,1792.8385009765625,,,,
109,102.23662567138672,1807.027587890625,,,,
110,102.80419921875,1818.725830078125,,,,
111,101.99932098388672,1825.7060546875,,,,
112,101.73707580566406,1830.328857421875,,,,
113,100.10855865478516,1830.36083984375,,,,
114,99.29430389404297,1830.3768310546875,,,,
115,98.1999282836914,1828.092041015625,,,,
116,97.10316467285156,1825.8023681640625,,,,
117,97.10316467285156,1825.8023681640625,,,,
118,96.8209228515625,1823.4915771484375,,,,
