frame,p1_x_mog2,p1_y_mog2,p2_x_mog2,p2_y_mog2,ball_x_mog2,ball_y_mog2,p1_x_yolo,p1_y_yolo,p2_x_yolo,p2_y_yolo,ball_x_yolo,ball_y_yolo
1,,,,,,,416.3854675292969,459.4784851074219,149.77398681640625,1977.271484375,,
2,,,,,,,416.3854675292969,459.4784851074219,149.77398681640625,1977.271484375,,
3,,,,,,,415.0443115234375,459.5107727050781,149.77398681640625,1977.271484375,,
4,,,,,,,415.0443115234375,459.5107727050781,149.77398681640625,1977.271484375,,
5,,,,,,,415.0443115234375,459.5107727050781,149.98223876953125,1979.2591552734375,,
6,,,,,,,413.7031555175781,459.5430603027344,149.98223876953125,1979.2591552734375,,
7,,,,,226.51858520507812,476.4588623046875,413.8066711425781,453.2984313964844,149.77398681640625,1977.271484375,,
8,,,,,,,413.7031555175781,459.5430603027344,149.98223876953125,1979.2591552734375,,
9,,,,,,,415.0443115234375,459.5107727050781,149.98223876953125,1979.2591552734375,,
10,,,,,,,415.0443115234375,459.5107727050781,149.98223876953125,1979.2591552734375,,
11,,,,,,,415.0443115234375,459.5107727050781,149.98223876953125,1979.2591552734375,,
12,,,,,150.689208984375,1863.3746337890625,413.7031555175781,459.5430603027344,149.98223876953125,1979.2591552734375,,
13,,,,,,,415.1502380371094,453.26605224609375,149.98223876953125,1979.2591552734375,,
14,,,,,,,413.7031555175781,459.5430603027344,149.77398681640625,1977.271484375,,
15,,,,,,,413.7031555175781,459.5430603027344,149.77398681640625,1977.271484375,,
16,,,,,,,412.36199951171875,459.5753479003906,149.77398681640625,1977.271484375,,
17,,,,,,,412.36199951171875,459.5753479003906,149.77398681640625,1977.271484375,,
18,149.68084716796875,1794.2509765625,,,,,411.1195983886719,453.3631591796875,150.32373046875,1975.2652587890625,,
19,149.68084716796875,1794.2509765625,,,,,411.1195983886719,453.3631591796875,149.77398681640625,1977.271484375,,
20,149.68084716796875,1794.2509765625,,,313.4563903808594,784.164794921875,411.1195983886719,453.3631591796875,151.08213806152344,1975.250732421875,,
21,149.68084716796875,1794.2509765625,,,396.1790466308594,220.22946166992188,411.0208740234375,459.6076354980469,151.84056091308594,1975.2362060546875,,
22,149.68084716796875,1794.2509765625,123.49374389648438,1979.7667236328125,422.3236083984375,117.18651580810547,411.0208740234375,459.6076354980469,153.35740661621094,1975.2071533203125,,
23,147.66001892089844,1840.885009765625,123.49374389648438,1979.7667236328125,,,411.0208740234375,459.6076354980469,154.1158447265625,1975.192626953125,,
24,147.66001892089844,1840.885009765625,123.49374389648438,1979.7667236328125,,,409.67974853515625,459.6399230957031,155.63272094726562,1975.1634521484375,,
25,131.1363525390625,1932.77294921875,123.49374389648438,1979.7667236328125,,,409.77606201171875,453.3955383300781,156.3911590576172,1975.14892578125,,
26,142.52847290039062,1959.30322265625,123.49374389648438,1979.7667236328125,,,409.77606201171875,453.3955383300781,157.14959716796875,1975.1343994140625,,
27,142.52847290039062,1959.30322265625,123.49374389648438,1979.7667236328125,,,409.77606201171875,453.3955383300781,158.10829162597656,1977.1116943359375,,
28,142.52847290039062,1959.30322265625,123.49374389648438,1979.7667236328125,,,409.77606201171875,453.3955383300781,158.86598205566406,1977.09716796875,,
29,142.52847290039062,1959.30322265625,123.49374389648438,1979.7667236328125,,,409.77606201171875,453.3955383300781,159.62367248535156,1977.0826416015625,,
30,144.37249755859375,1969.3682861328125,123.49374389648438,1979.7667236328125,,,409.77606201171875,453.3955383300781,159.62367248535156,1977.0826416015625,,
31,145.8012237548828,1961.2686767578125,123.49374389648438,1979.7667236328125,,,409.77606201171875,453.3955383300781,160.38136291503906,1977.068115234375,,
32,146.6889190673828,1955.154052734375,123.49374389648438,1979.7667236328125,,,409.77606201171875,453.3955383300781,161.13906860351562,1977.0535888671875,,
33,148.5633087158203,1951.0321044921875,123.49374389648438,1979.7667236328125,,,409.77606201171875,453.3955383300781,161.8967742919922,1977.0390625,,
34,150.4454345703125,1946.8931884765625,123.49374389648438,1979.7667236328125,,,409.77606201171875,453.3955383300781,161.8967742919922,1977.0390625,,
35,151.0043487548828,1944.82470703125,123.49374389648438,1979.7667236328125,,,409.67974853515625,459.6399230957031,162.65447998046875,1977.0245361328125,,
36,150.79348754882812,1942.766845703125,123.49374389648438,1979.7667236328125,,,409.67974853515625,459.6399230957031,162.65447998046875,1977.0245361328125,,
37,151.35391235351562,1940.6898193359375,,,,,409.67974853515625,459.6399230957031,162.65447998046875,1977.0245361328125,,
38,151.28250122070312,1932.3837890625,,,,,409.67974853515625,459.6399230957031,162.65447998046875,1977.0245361328125,,
39,151.28250122070312,1932.3837890625,,,,,409.67974853515625,459.6399230957031,162.65447998046875,1977.0245361328125,,
40,417.6163024902344,465.6687927246094,147.70425415039062,1824.807373046875,,,411.0208740234375,459.6076354980469,161.7003631591797,1975.047119140625,,
41,417.7266540527344,459.4461975097656,145.93617248535156,1772.6785888671875,,,412.36199951171875,459.5753479003906,160.7443084716797,1973.065673828125,,
42,418.06005859375,440.6441650390625,144.64996337890625,1750.6181640625,311.8092346191406,461.99578857421875,412.26123046875,465.797607421875,160.54632568359375,1971.065673828125,,
43,419.1809997558594,453.1689453125,145.25723266601562,1748.1243896484375,,,413.5999755859375,465.7654113769531,160.9107208251953,1967.038818359375,,
44,421.39892578125,477.95147705078125,156.0856475830078,1861.0360107421875,,,414.9387512207031,465.7331848144531,159.9145965576172,1956.936279296875,,
45,422.3783264160156,496.32427978515625,162.13153076171875,1932.1741943359375,,,415.0443115234375,459.5107727050781,159.71414184570312,1954.9034423828125,,
46,422.3783264160156,496.32427978515625,165.68533325195312,1976.9664306640625,,,415.1502380371094,453.26605224609375,158.74627685546875,1952.881103515625,,
47,422.3783264160156,496.32427978515625,167.9662628173828,2000.560791015625,,,417.83740234375,453.2013244628906,157.57318115234375,1948.809326171875,,
48,422.0235290527344,296.274169921875,168.15567016601562,2010.23974609375,,,418.06005859375,440.6441650390625,157.16542053222656,1944.7059326171875,,
49,417.4866027832031,396.0069274902344,168.3421630859375,2012.1611328125,,,415.3632507324219,440.7092590332031,156.75596618652344,1940.585693359375,,
50,415.6252136230469,343.60833740234375,167.96881103515625,2008.314453125,,,415.3632507324219,440.7092590332031,157.32315063476562,1938.5042724609375,,
51,414.6737365722656,316.8240661621094,168.3411102294922,2004.438232421875,,,411.4178771972656,434.4947814941406,156.70692443847656,1932.279052734375,,
52,417.5807189941406,309.9883117675781,167.21206665039062,1992.7591552734375,,,408.9072265625,421.8677673339844,156.5006561279297,1930.1953125,,
53,413.06488037109375,330.31695556640625,165.6970977783203,1984.9090576171875,,,404.75201416015625,428.323486328125,155.6713409423828,1921.8172607421875,,
54,414.7833251953125,310.0570068359375,164.9276123046875,1976.98095703125,,,403.39886474609375,428.356201171875,156.03466796875,1917.5870361328125,,
